,X,Y
0,0,0.63
1,1,0.79
2,2,0.76
3,3,0.72
4,4,0.86
5,5,0.91
6,6,0.56
7,7,0.03
8,8,0.95
9,9,0.92
10,10,0.82
11,11,0.89
12,12,0.82
13,13,0.93
14,14,0.66
15,15,0.66
16,16,0.66
17,17,0.68
18,18,0.5
19,19,0.89
20,20,1.13
21,21,0.82
22,22,0.85
23,23,0.94
24,24,0.92
25,25,0.9
26,26,0.39
27,27,0.91
28,28,0.69
29,29,0.99
30,30,0.99
31,31,0.65
32,32,0.46
33,33,0.56
34,34,0.67
35,35,0.57
36,36,0.6
37,37,0.38
38,38,0.76
39,39,0.7
40,40,0.5
41,41,0.91
42,42,0.84
43,43,0.8
44,44,1.26
45,45,0.77
46,46,1.22
47,47,0.87
48,48,0.85
49,49,0.62
50,50,0.68
51,51,0.54
52,52,0.71
53,53,0.8
54,54,0.3
55,55,0.79
56,56,0.44
57,57,0.71
58,58,1.21
59,59,0.87
60,60,0.87
61,61,0.77
62,62,0.79
63,63,0.7
64,64,0.79
65,65,0.76
66,66,0.91
67,67,0.76
68,68,0.25
69,69,1.06
70,70,0.81
71,71,0.85
72,72,0.66
73,73,0.74
74,74,0.76
75,75,0.73
76,76,0.66
77,77,0.76
78,78,0.74
79,79,0.63
80,80,0.82
81,81,0.67
82,82,0.61
83,83,0.66
84,84,0.81
85,85,0.69
86,86,0.67
87,87,0.8
88,88,0.79
89,89,1.2
90,90,0.87
91,91,1.21
92,92,1.13
93,93,0.99
94,94,0.9
95,95,0.55
96,96,0.7
97,97,0.68
98,98,0.75
99,99,0.4
100,100,0.61
101,101,0.96
102,102,0.7
103,103,0.31
104,104,0.65
105,105,0.45
106,106,0.69
107,107,0.27
108,108,0.7
109,109,0.77
110,110,0.64
111,111,0.56
112,112,0.57
113,113,0.78
114,114,0.25
115,115,0.36
116,116,0.64
117,117,0.99
118,118,0.9
119,119,1.07
120,120,0.89
121,121,0.79
122,122,0.93
123,123,0.84
124,124,0.55
125,125,0.86
126,126,0.62
127,127,0.77
128,128,0.84
129,129,0.87
130,130,0.65
131,131,0.74
132,132,0.71
133,133,0.41
134,134,0.59
135,135,0.76
136,136,0.5
137,137,0.87
138,138,0.69
139,139,0.48
140,140,0.77
141,141,0.6
142,142,0.59
143,143,0.83
144,144,0.42
145,145,0.73
146,146,0.39
147,147,0.83
148,148,0.86
149,149,0.64
150,150,0.52
151,151,0.6
152,152,0.87
153,153,1.15
154,154,0.68
155,155,0.75
156,156,0.51
157,157,0.65
158,158,0.92
159,159,1.05
160,160,0.76
161,161,0.63
162,162,0.8
163,163,0.53
164,164,0.93
165,165,0.88
