,Fea,2k_th,3k_th,Mean,LSL,USL
0,B001_TP_ABC[X],-0.34631554065363157,-0.46719341516302054,-0.3154312437164827,-1.5,1.5
1,B001_TP_ABC[Y],1.0320054621721129,0.9457571406249611,1.0540419083274102,-1.5,1.5
2,B001_TP_ABC[Z],-0.27913419725140176,-0.42839602499378515,-0.24099780026322282,-1.5,1.5
3,B002_Patch[X],0.26874010794889813,0.36821053836157014,0.24332541297846044,-1.5,1.5
4,B003_Patch[X],0.5288799911627149,0.4809398865277771,0.5411286878969416,-1.5,1.5
5,B004_Patch[X],-0.7013148751819631,-0.8671484457198793,-0.6589443979095256,-1.5,1.5
6,B005_Patch[X],0.04380293004641839,-0.022957150084840228,0.060860130519954966,-1.5,1.5
7,B006_Patch[X],-0.3266796762388462,-0.43090011471693995,-0.30005135420769324,-1.5,1.5
8,B007_Patch[X],0.20327751466546345,0.20719878560560084,0.20227562994025836,-1.5,1.5
9,B008_TP_ABC[X],0.6403717448833272,0.8170290199112582,0.5952358111136908,-1.5,1.5
10,B008_TP_ABC[Y],-1.188099263140968,-2.112455774469045,-0.9519261744966442,-1.5,1.5
11,B008_TP_ABC[Z],0.6840480098480467,0.5700010846825139,0.7131869992278403,-1.5,1.5
12,B009_ANGUL_A[Angularity],0.5655648996365087,0.6402108446641309,0.5464928606819512,-1.5,1.5
13,B009_ANGUL_B[Angularity],0.8756994600870762,0.9505256788233987,0.8565813611999458,-1.5,1.5
14,B009_PROF_ABC[Surface Min Dev],-0.34631554065363157,-0.46719341516302054,-0.3154312437164827,-1.5,1.5
15,B009_PROF_ABC[Surface Max Dev],0.5288799911627149,0.4809398865277771,0.5411286878969416,-1.5,1.5
16,B010_ANGUL_A[Angularity],0.39991172673716335,0.45055193172638947,0.38697315436241614,-1.5,1.5
17,B010_ANGUL_B[Angularity],0.9946518362033467,1.2525270841984693,0.9287647103405929,-1.5,1.5
18,B010_PROF_ABC[Profile Surface],0.8223302779276447,0.9169480258026863,0.7981554433455716,-1.5,1.5
19,B010_PROF_ABC[Surface Min Dev],-0.7013148751819631,-0.8671484457198793,-0.6589443979095256,-1.5,1.5
20,B010_PROF_ABC[Surface Max Dev],0.6403717448833272,0.8170290199112582,0.5952358111136908,-1.5,1.5
21,B010_PROF_AS[Surface Min Dev],-0.8068112842365546,-0.918280439671747,-0.778330915022863,-1.5,1.5
22,B010_PROF_AS[Surface Max Dev],0.5334247104785386,0.7686358985286668,0.47332825193173084,-1.5,1.5
23,B015_TP_ABC[X],-0.4152710174896339,0.8236635205012663,-0.7318187919463088,-1.5,1.5
24,B015_TP_ABC[Y],2.5776411196681894,2.91246366345154,2.4920939597315437,-1.5,1.5
25,B015_TP_ABC[Z],-0.23262036471908526,-0.21960362640633202,-0.23594614135799372,-1.5,1.5
26,B015_TP_ABC[Profile Surface],0.6649438916275388,0.6084975533673983,0.6793659310530046,-1.0,1.0
27,B015_TP_ABC[Surface Min Dev],-0.6646354909262596,-0.6085569365970859,-0.6789635615573635,-1.0,1.0
28,B015_TP_ABC[Surface Max Dev],-0.18819341594756475,-0.1543565765272622,-0.19683872841945205,-1.0,1.0
29,B015_TP_ADE_SHORT[X],-0.982315139583336,0.20937490630859612,-1.2867919463087247,-1.5,1.5
30,B015_TP_ADE_SHORT[Y],3.23947792270138,3.73602267591604,3.112610738255034,-1.5,1.5
31,B016_TP_ABC[X],0.32872724801283804,0.8113042622187597,0.20542882088322503,-1.5,1.5
32,B016_TP_ABC[Y],-1.4321178349773755,-1.6342102557244025,-1.3804832214765101,-1.5,1.5
33,B016_TP_ABC[Z],0.4948414740863062,0.4645593314059322,0.5025785615411418,-1.5,1.5
34,B016_TP_ABC[Profile Surface],0.8020465721856479,0.7616131149419315,0.8123773205114175,-1.0,1.0
35,B016_TP_ABC[Surface Min Dev],0.1756800869541303,0.15747663185067204,0.1803310697330639,-1.0,1.0
36,B016_TP_ABC[Surface Max Dev],0.8020465721856479,0.7616131149419315,0.8123773205114175,-1.0,1.0
37,B016_TP_ADE_SHORT[X],-0.6476831196998043,-0.2977385403192202,-0.7370939597315436,-1.5,1.5
38,B016_TP_ADE_SHORT[Y],-0.770224018038968,-0.8099892652375293,-0.7600639973797356,-1.5,1.5
39,B019_PROF_ABC[Surface Min Dev],-0.6646354909262596,-0.6085569365970859,-0.6789635615573635,-2.0,2.0
40,B019_PROF_ABC[Surface Max Dev],-0.18819341594756475,-0.1543565765272622,-0.19683872841945205,-2.0,2.0
41,B019_PROF_F[Surface Min Dev],-0.43056260834117854,-0.4066047298173952,-0.4366838463040052,-2.0,2.0
42,B019_PROF_F[Surface Max Dev],0.046102942329038256,0.047373418325192526,0.04577833571202084,-2.0,2.0
43,B020_PROF_ABC[Surface Min Dev],0.1756800869541303,0.15747663185067204,0.1803310697330639,-2.0,2.0
44,B020_PROF_ABC[Surface Max Dev],0.8020465721856479,0.7616131149419315,0.8123773205114175,-2.0,2.0
45,B020_PROF_F[Surface Min Dev],0.4091281384263903,0.359972689853931,0.42168735553665365,-2.0,2.0
46,B020_PROF_F[Surface Max Dev],1.0359124470167786,0.9634937938804818,1.0544154128931025,-2.0,2.0
47,B032_PROF_LH_ABC[Surface Min Dev],0.392212509520671,0.3553249198694808,0.4016372886765501,-1.5,1.5
48,B032_PROF_LH_ABC[Surface Max Dev],0.7667488285912584,0.7709707463180614,0.7656701286120603,-1.5,1.5
49,B032_PROF_RH_ABC[Surface Min Dev],0.12072882870639635,0.3505029991788719,0.06202152815067884,-1.5,1.5
50,B032_PROF_RH_ABC[Surface Max Dev],0.37461026562660993,0.6062329787534718,0.3154306624226967,-1.5,1.5
51,B035_TP_ABC[X],0.33887515592037576,0.13622794347545114,0.39065151870005393,-2.0,2.0
52,B035_TP_ABC[Y],-0.20844077434993502,-0.46170975454731267,-0.14373054990950504,-2.0,2.0
53,B035_TP_ABC[Z],1.0416516084146519,0.9340724643804301,1.0691380797153953,-2.0,2.0
54,B035_TP_ABC[Profile Surface],0.49025389818898363,0.27178301497626767,0.5460732088498326,-1.0,1.0
55,B035_TP_ABC[Surface Min Dev],0.18664858759854946,-0.000544324772433824,0.23447637670933572,-1.0,1.0
56,B035_TP_ABC[Surface Max Dev],0.49012776601494945,0.2719798811112191,0.5458645506078526,-1.0,1.0
57,B036_TP_ABC[X],0.9190037823996633,0.7294988084354164,0.9674223032475283,-2.0,2.0
58,B036_TP_ABC[Y],0.34437053770394327,0.30065068856199617,0.35554095915971073,-2.0,2.0
59,B036_TP_ABC[Z],0.7666120425354226,0.9430528539710653,0.721531415213616,-2.0,2.0
60,B036_TP_ABC[Profile Surface],1.14353874834179,0.9418625182322764,1.1950670251347708,-1.0,1.0
61,B036_TP_ABC[Surface Min Dev],0.6941062307858554,0.5158594861029995,0.739648274052325,-1.0,1.0
62,B036_TP_ABC[Surface Max Dev],1.14353874834179,0.9418625182322764,1.1950670251347708,-1.0,1.0
63,B037_PROF_ABC[Surface Min Dev],0.18664858759854946,-0.000544324772433824,0.23447637670933572,-2.0,2.0
64,B037_PROF_ABC[Surface Max Dev],0.49012776601494945,0.2719798811112191,0.5458645506078526,-2.0,2.0
65,B038_PROF_ABC[Surface Min Dev],0.6941062307858554,0.5158594861029995,0.739648274052325,-2.0,2.0
66,B038_PROF_ABC[Surface Max Dev],1.14353874834179,0.9418625182322764,1.1950670251347708,-2.0,2.0
67,B045_TP_ABC[X],0.24756685549415167,0.4783120664962548,0.18861145408311433,-1.5,1.5
68,B045_TP_ABC[Y],-0.4036712593965758,-0.531538334912987,-0.3710012216021327,-1.5,1.5
69,B045_TP_ABC[Z],1.0020440818772898,1.2200597310588293,0.9463410835114064,-1.5,1.5
70,B045_TP_ABC[Surface Min Dev],0.12072882870639635,0.3505029991788719,0.06202152815067884,-1.0,1.0
71,B045_TP_ABC[Surface Max Dev],0.37461026562660993,0.6062329787534718,0.3154306624226967,-1.0,1.0
72,B045_TP_AP[Y],-0.1948731657454375,-0.0695716212457872,-0.22688771036509817,-1.0,1.0
73,B045_TP_AP[Z],-0.04017620559791357,0.2955980253279595,-0.12596652159947413,-1.0,1.0
74,B045_TP_AP[True Position],2.924906120660114,2.8172054278449528,2.9524236476743875,-1.0,1.0
75,B046_TP_ABC[X],0.5794255321492838,0.5627714036559588,0.5836806619793284,-1.5,1.5
76,B046_TP_ABC[Y],0.454606469046422,0.5447881852648262,0.4315650405526197,-1.5,1.5
77,B046_TP_ABC[Z],0.9449247105397962,1.175470978074752,0.8860201391846149,-1.5,1.5
78,B046_TP_ABC[Surface Min Dev],0.392212509520671,0.3553249198694808,0.4016372886765501,-1.0,1.0
79,B046_TP_ABC[Surface Max Dev],0.7667488285912584,0.7709707463180614,0.7656701286120603,-1.0,1.0
80,B046_TP_AN[Y],0.6106933714763179,0.7452513989167442,0.5763137954652889,-1.0,1.0
81,B046_TP_AN[Z],0.17791314933713448,0.23925924965012202,0.16223922070716615,-1.0,1.0
82,B046_TP_AN[True Position],3.6554138985348645,4.191226077685577,3.5185138867618577,-1.0,1.0
83,B059_TP_ABC[X],0.09380178531549155,0.3044712385784849,0.039975740006796746,-1.5,1.5
84,B059_TP_ABC[Y],1.1092049034384843,1.5207086909909258,1.0040656857188355,-1.5,1.5
85,B059_TP_ABC[Z],-0.3155005426864873,-0.053632619813252846,-0.38240779698059874,-1.5,1.5
86,B059_TP_ABC[Profile Surface],0.6611790825677977,0.5876036996444804,0.6799775929047053,-1.0,1.0
87,B059_TP_ABC[Surface Min Dev],-0.6611790825677977,-0.5876036996444804,-0.6799775929047053,-1.0,1.0
88,B059_TP_ABC[Surface Max Dev],-0.38008159144611103,-0.09973765496725207,-0.45170946721645944,-1.0,1.0
89,B067_PROF_ABC[Surface Min Dev],-0.6611790825677977,-0.5876036996444804,-0.6799775929047053,-1.5,1.5
90,B067_PROF_ABC[Surface Max Dev],-0.38008159144611103,-0.09973765496725207,-0.45170946721645944,-1.5,1.5
91,B075_TP_ABC[X],0.016047125540176607,0.09818958587800011,-0.004940273076137293,-1.5,1.5
92,B075_TP_ABC[Y],0.8827637399165381,1.1438805528326292,0.8160483942164768,-1.5,1.5
93,B075_TP_ABC[Z],0.310088235807587,0.09685052938460925,0.36457046979865776,-1.5,1.5
94,B075_TP_ABC[Surface Min Dev],-0.19097543898507022,-0.0814491683863584,-0.21895940112304108,-1.0,1.0
95,B075_TP_ABC[Surface Max Dev],0.00833420093672492,0.0800426013308716,-0.009987295363979555,-1.0,1.0
96,B075_TP_T[X],-0.3231206389551946,-0.037203256480038194,-0.39617253017759707,-1.0,1.0
97,B075_TP_T[Y],1.0914143443829918,1.606386626999411,0.9598389261744965,-1.5,1.5
98,B075_TP_T[Z],-0.7316764810858517,-0.836254892433833,-0.7049566969864425,-1.5,1.5
99,B076_TP_ABC[X],0.714431705526065,0.9378474089995461,0.6573489932885906,-1.5,1.5
