,SN,Bad,Bad Critical,Critical Pass Rate,Good,Ignored,Pass Rate
0,FR320009010229,8,2,0.8181818181818182,81,1,0.9101123595505618
1,FR320009010230,10,2,0.8181818181818182,79,1,0.8876404494382022
2,FR320009010231,8,2,0.8181818181818182,81,1,0.9101123595505618
3,FR320009010232,9,2,0.8181818181818182,80,1,0.898876404494382
4,FR320009010233,8,2,0.8181818181818182,81,1,0.9101123595505618
5,FR320009010234,7,1,0.9090909090909091,82,1,0.9213483146067416
6,FR320009010241,6,2,0.8181818181818182,83,1,0.9325842696629213
7,FR320009010242,8,2,0.8181818181818182,81,1,0.9101123595505618
8,FR320009010243,10,2,0.8181818181818182,79,1,0.8876404494382022
9,FR120013010000,21,1,0.9090909090909091,68,1,0.7640449438202247
10,FR120013010001,12,1,0.9090909090909091,77,1,0.8651685393258427
11,FR120013010002,15,1,0.9090909090909091,74,1,0.8314606741573034
12,FR220013010000,21,1,0.9090909090909091,68,1,0.7640449438202247
13,FR220013010001,18,1,0.9090909090909091,71,1,0.797752808988764
14,FR220013010002,19,1,0.9090909090909091,70,1,0.7865168539325843
15,FR220013010003,12,1,0.9090909090909091,77,1,0.8651685393258427
16,FR220013010004,13,1,0.9090909090909091,76,1,0.8539325842696629
17,FR220013010005,12,1,0.9090909090909091,77,1,0.8651685393258427
18,FR220013010006,11,1,0.9090909090909091,78,1,0.8764044943820225
19,FR220013010007,14,1,0.9090909090909091,75,1,0.8426966292134831
20,FR220013010008,17,1,0.9090909090909091,72,1,0.8089887640449438
21,FR220013010009,6,1,0.9090909090909091,83,1,0.9325842696629213
22,FR220013010010,18,1,0.9090909090909091,71,1,0.797752808988764
23,FR220013010011,15,1,0.9090909090909091,74,1,0.8314606741573034
24,FR220013010012,14,1,0.9090909090909091,75,1,0.8426966292134831
25,FR220013010013,13,2,0.8181818181818182,76,1,0.8539325842696629
26,FR220013010014,7,1,0.9090909090909091,82,1,0.9213483146067416
